Unnamed: 0,Landfill Name,State_x,County,State_y,"Age-Adjusted Incidence Rate - cases per 100,000",Average Annual Count,Recent Trend,Clean State
505,Indian River County LF Class I,FL,Indian River, Florida,468.6,1297,stable,FL
506,J.E.D. Solid Waste Management Facility,FL,Osceola, Florida,446.1,1489,stable,FL
511,Lee/Hendry County Regional SW Disposal Facility,FL,Hendry, Florida,373.9,154,falling,FL
512,Lena Road Class I Landfill,FL,Manatee, Florida,438.9,2634,stable,FL
513,Leon County Landfill,FL,Leon, Florida,401.6,1094,falling,FL
515,Majette North SLF,FL,Bay, Florida,505.5,1137,stable,FL
516,Martin County Palm City II SLF,FL,Martin, Florida,456.3,1304,stable,FL
523,Okeechobee LF,FL,Okeechobee, Florida,484.7,262,stable,FL
525,Osceola Landfill,FL,Seminole, Florida,444.7,2315,falling,FL
527,PCSW Resource Recovery Facility,FL,Pasco, Florida,505.8,3736,falling,FL
530,Putnam County Central SLF,FL,Putnam, Florida,493.4,535,stable,FL
532,Rosemary Hill LF Expansion Class I,FL,Clay, Florida,508.7,1182,stable,FL
535,Santa Rosa Central LF,FL,Santa Rosa, Florida,466.2,918,stable,FL
542,St. Lucie County Baling and Recycling Facility,FL,St. Lucie, Florida,438.4,1983,stable,FL
544,Stock Island LF,FL,Monroe, Florida,423.8,500,falling,FL
546,SW Alachua SLF,FL,Alachua, Florida,464.9,1221,falling,FL
547,Taylor County Central LF,FL,Taylor, Florida,437.6,133,falling,FL
548,Tillman Ridge SLF,FL,St. Johns, Florida,487.4,1485,stable,FL
549,Tomoka Farms Road LF,FL,Volusia, Florida,482.3,3939,rising,FL
552,West Nassau SLF,FL,Nassau, Florida,557.5,632,stable,FL
553,Winfield Solid Waste Facility,FL,Columbia, Florida,497.6,447,rising,FL
554,Wright LF,FL,Okaloosa, Florida,451.3,1044,falling,FL
555,Zemel Road Landfill,FL,Charlotte, Florida,462,1730,stable,FL
556,"Advanced Disposal Services Evergreen Landfill, Inc.",GA,Lowndes, Georgia,456.4,479,stable,GA
557,Athens-Clarke County Landfill,GA,Clarke, Georgia,454.1,455,stable,GA
558,Atkinson County - SR 50 MSWL,GA,Atkinson, Georgia,447,39,stable,GA
560,Bartow County MSWLF,GA,Bartow, Georgia,474.5,526,falling,GA
561,BJ Landfill,GA,Gwinnett, Georgia,452.8,3487,stable,GA
562,Broadhurst Environmental Landfill,GA,Wayne, Georgia,489.4,169,stable,GA
564,Camden County SR 110 MSW Landfill,GA,Camden, Georgia,464.7,235,stable,GA
565,Carroll County - Carrollton SR 166 MSW Landfill,GA,Carroll, Georgia,496.8,585,stable,GA
567,Catoosa County MSW LF,GA,Catoosa, Georgia,365.3,299,stable,GA
568,Cedar Grove Landfill,GA,Lamar, Georgia,488.9,110,stable,GA
571,"Chesser Island Road Landfill, Inc. MSWL",GA,Charlton, Georgia,454,67,stable,GA
573,City of LaGrange Landfill,GA,Troup, Georgia,482.7,373,stable,GA
574,City of Thomasville MSWLF,GA,Thomas, Georgia,473.4,267,falling,GA
575,City of Tifton / Omega / Eldorado Road LF,GA,Tift, Georgia,522.6,234,stable,GA
576,Clayton County SR 3 Lovejoy Landfill,GA,Clayton, Georgia,483.9,1098,stable,GA
577,Columbus Pine Grove MSWLF,GA,Muscogee, Georgia,484.7,984,stable,GA
580,Crisp County Landfill,GA,Crisp, Georgia,413.2,121,stable,GA
581,Deans Bridge Road MSWLF,GA,Richmond, Georgia,469.7,1007,stable,GA
582,Decatur County Solid Waste Facility,GA,Decatur, Georgia,455.6,150,stable,GA
583,Dougherty County Fleming/Gaissert Road LF,GA,Dougherty, Georgia,468.3,487,falling,GA
585,Eagle Point Landfill LLC,GA,Forsyth, Georgia,501.8,1014,stable,GA
590,Gordon County Redbone Ridges LF,GA,Gordon, Georgia,474.4,300,stable,GA
593,Habersham County SR13 MSWL,GA,Habersham, Georgia,503.3,276,stable,GA
594,Hall County Allen Creek Landfill,GA,Hall, Georgia,498.4,1036,stable,GA
601,Laurens County - Old Macon Road MSWL,GA,Laurens, Georgia,460.7,269,stable,GA
602,Liberty County LF,GA,Liberty, Georgia,445.8,209,stable,GA
604,Macon Bibb Walker Road MSWL,GA,Bibb, Georgia,503.1,880,stable,GA
607,Murray County Landfill,GA,Murray, Georgia,450.8,200,rising,GA
608,Newton County Landfill,GA,Newton, Georgia,518.3,550,stable,GA
609,Oak Grove Landfill,GA,Barrow, Georgia,518.8,390,stable,GA
610,Old Dixie Highway MSW Landfill,GA,Whitfield, Georgia,414,451,falling,GA
613,Pine Ridge Landfill,GA,Butts, Georgia,498.4,140,stable,GA
615,R & B (Banks) Landfill,GA,Banks, Georgia,472.4,106,stable,GA
617,Roberts Road Landfill,GA,Fayette, Georgia,465.4,658,stable,GA
618,Savannah-Dean Forest Road SL,GA,Chatham, Georgia,444.8,1388,stable,GA
625,Turkey Run Landfill,GA,Meriwether, Georgia,489.7,146,stable,GA
628,Walker Mountain Landfill,GA,Floyd, Georgia,467.7,548,stable,GA
632,"Wolf Creek Landfill, LLC",GA,Twiggs, Georgia,457,58,stable,GA
635,Central Maui Landfill,HI,Maui, Hawaii,411.3,837,stable,HI
639,Kaneohe Marine Corps Air Station Landfill,HI,Honolulu, Hawaii,428.8,5073,stable,HI
642,Kekaha Landfill/Phases I & II,HI,Kauai, Hawaii,367,349,falling,HI
647,South Hilo Sanitary Landfill (SHSL),HI,Hawaii, Hawaii,380.7,1025,falling,HI
651,Black Hawk County SLF (Area E),IA,Black Hawk, Iowa,488.9,742,falling,IA
652,Boone County Landfill,IA,Boone, Iowa,495.7,173,stable,IA
655,Cedar Rapids Linn County Solid Waste Landfill #1,IA,Linn, Iowa,489.2,1226,rising,IA
657,Central Disposal Landfill,IA,Winnebago, Iowa,463.5,70,stable,IA
659,City of Muscatine LF,IA,Muscatine, Iowa,510.3,262,stable,IA
660,Clinton County SLF (East),IA,Clinton, Iowa,481.4,310,stable,IA
661,Des Moines County Regional Sanitary Landfill,IA,Des Moines, Iowa,501.9,280,stable,IA
662,Dickinson Landfill Inc.,IA,Dickinson, Iowa,534.9,151,stable,IA
663,Dubuque Metropolitan SLF,IA,Dubuque, Iowa,496.1,595,falling,IA
665,Floyd-Mitchell-Chickasaw Counties Landfill,IA,Mitchell, Iowa,469.1,72,stable,IA
669,Iowa City SLF,IA,Johnson, Iowa,473.1,603,falling,IA
671,Landfill of North Iowa,IA,Cerro Gordo, Iowa,562.9,352,rising,IA
672,Loess Hills Regional SLF,IA,Mills, Iowa,514.9,101,stable,IA
678,Newton SLF,IA,Jasper, Iowa,453.8,223,stable,IA
679,North Central Iowa Regional SWA Sanitary Landfill,IA,Webster, Iowa,470.6,228,falling,IA
681,Northwest Iowa Area SWA Landfill,IA,Sioux, Iowa,454.3,175,stable,IA
683,Ottumwa-Wapello County SLF,IA,Wapello, Iowa,506.2,233,stable,IA
684,Page County Sanitary Landfill,IA,Page, Iowa,533.5,126,rising,IA
688,Scott Area SLF,IA,Scott, Iowa,483.9,971,falling,IA
697,Winneshiek County Sanitary Landfill,IA,Winneshiek, Iowa,408.3,113,stable,IA
698,Ada County Landfill,ID,Ada, Idaho,456.5,2080,falling,ID
700,Bear Lake County Landfill,ID,Bear Lake, Idaho,373.3,29,stable,ID
701,Bennett Road Landfill,ID,Elmore, Idaho,467.4,120,falling,ID
