,Landfill Name,State,County,Average Annual Count
201,Oak Grove Landfill,GA,Barrow,390
202,Old Dixie Highway MSW Landfill,GA,Whitfield,451
203,Pine Ridge Landfill,GA,Butts,140
204,R & B (Banks) Landfill,GA,Banks,106
205,Roberts Road Landfill,GA,Fayette,658
206,Savannah-Dean Forest Road SL,GA,Chatham,1388
207,Turkey Run Landfill,GA,Meriwether,146
208,Walker Mountain Landfill,GA,Floyd,548
209,"Wolf Creek Landfill, LLC",GA,Twiggs,58
210,Central Maui Landfill,HI,Maui,837
211,Kaneohe Marine Corps Air Station Landfill,HI,Honolulu,5073
212,Kekaha Landfill/Phases I & II,HI,Kauai,349
213,South Hilo Sanitary Landfill (SHSL),HI,Hawaii,1025
214,Black Hawk County SLF (Area E),IA,Black Hawk,742
215,Boone County Landfill,IA,Boone,173
216,Cedar Rapids Linn County Solid Waste Landfill #1,IA,Linn,1226
217,Central Disposal Landfill,IA,Winnebago,70
218,City of Muscatine LF,IA,Muscatine,262
219,Clinton County SLF (East),IA,Clinton,310
220,Des Moines County Regional Sanitary Landfill,IA,Des Moines,280
221,Dickinson Landfill Inc.,IA,Dickinson,151
222,Dubuque Metropolitan SLF,IA,Dubuque,595
223,Floyd-Mitchell-Chickasaw Counties Landfill,IA,Mitchell,72
224,Iowa City SLF,IA,Johnson,603
225,Landfill of North Iowa,IA,Cerro Gordo,352
226,Loess Hills Regional SLF,IA,Mills,101
227,Newton SLF,IA,Jasper,223
228,North Central Iowa Regional SWA Sanitary Landfill,IA,Webster,228
229,Northwest Iowa Area SWA Landfill,IA,Sioux,175
230,Ottumwa-Wapello County SLF,IA,Wapello,233
231,Page County Sanitary Landfill,IA,Page,126
232,Scott Area SLF,IA,Scott,971
233,Winneshiek County Sanitary Landfill,IA,Winneshiek,113
234,Ada County Landfill,ID,Ada,2080
235,Bear Lake County Landfill,ID,Bear Lake,29
236,Bennett Road Landfill,ID,Elmore,120
237,Bingham County Landfill-Ridge Road,ID,Bingham,196
238,Bonneville County Landfill,ID,Bonneville,480
239,Boundary County Landfill,ID,Boundary,76
240,Clay Peak Landfill,ID,Payette,138
241,Fighting Creek Farm Landfill,ID,Kootenai,930
242,Fort Hall Mine Landfill,ID,Bannock,322
243,Franklin County Sanitary Landfill,ID,Franklin,50
244,Hub Butte Landfill,ID,Twin Falls,384
245,Latah Sanitary Landfill,ID,Latah,158
246,Lemhi County Landfill 1,ID,Lemhi,67
247,Milner Butte Landfill,ID,Cassia,90
248,Pickles Butte SLF,ID,Canyon,952
249,Teton County Landfill,ID,Teton,37
250,31st Street Landfill,IL,Cook,25748
251,ADS/McLean County LF #2,IL,McLean,769
252,Advanced Disposal Orchard Hills Landfill Inc.,IL,Ogle,319
253,Advanced Disposal Valley View Landfill Inc.,IL,Macon,786
254,Beecher Landfill,IL,Will,3425
255,Bond County LF,IL,Bond,108
256,Brickyard Disposal & Recycling Inc.,IL,Vermilion,525
257,Clinton Landfill Inc.,IL,De Witt,118
258,Coles County Landfill,IL,Coles,268
259,Envirofil of Illinois Inc.,IL,McDonough,179
260,Environtech LF,IL,Grundy,302
261,Five Oaks RDF,IL,Christian,256
262,Freeport Municipal Landfill #4,IL,Stephenson,279
263,Greene Valley RDF,IL,DuPage,4918
264,Indian Creek Landfill #2,IL,Tazewell,870
265,Jerseyville Sanitation Landfill,IL,Jersey,138
266,K & H Disposal Landfill,IL,Iroquois,203
267,Kankakee County RDF,IL,Kankakee,668
268,Knox County LF #3,IL,Knox,338
270,Landfill 33 Ltd.,IL,Effingham,210
271,Livingston LF,IL,Livingston,250
272,Peoria City/County Landfills #1 and #2,IL,Peoria,1094
273,Quad Cities Landfill Phase IV,IL,Rock Island,875
274,Sangamon Valley Landfill Inc.,IL,Sangamon,1315
275,Settler's Hill Recycling & Disposal Facility,IL,Kane,2378
276,Urbana Municipal #1,IL,Champaign,863
277,Whiteside County Landfill,IL,Whiteside,375
278,"Advanced Disposal Services Hoosier Landfill, Inc.",IN,Kosciusko,412
279,Bartholomew County Landfill I,IN,Bartholomew,433
280,Clark-Floyd LF,IN,Clark,654
281,Daviess County LF,IN,Daviess,163
282,Deercroft RDF,IN,LaPorte,662
283,Earthmovers LF,IN,Elkhart,956
284,Hayes Landfill,IN,Henry,306
285,Huntington City LF,IN,Huntington,202
286,Jay County LF,IN,Jay,127
287,Jennings County LF,IN,Jennings,163
288,LaGrange County LF,IN,LaGrange,144
289,Laubscher Meadows LF,IN,Vanderburgh,1040
290,Liberty Landfill,IN,White,155
291,National Serv-All LF,IN,Allen,1732
292,Oak Ridge RDF,IN,Cass,206
293,Prairie View RDF,IN,St. Joseph,1333
294,Randolph Farms LF,IN,Randolph,159
295,Spencer County,IN,Spencer,118
296,Sullivan County LF,IN,Sullivan,120
297,Sycamore Ridge Landfill & Victory Landfill,IN,Vigo,591
298,Tipton County LF,IN,Tipton,102
299,Twin Bridges RDF,IN,Hendricks,772
300,Wabash Valley LF,IN,Wabash,202
301,West Clinton LF,IN,Vermillion,103
323,Advanced Disposal Morehead Landfill Inc.,KY,Rowan,126
324,Big Run Landfill,KY,Boyd,348
325,Blue Ridge RDF,KY,Estill,113
326,Epperson Waste Disposal,KY,Grant,143
327,Glasgow Regional Landfill,KY,Barren,295
328,Green Valley Landfill,KY,Greenup,265
329,Hardin County Landfill,KY,Hardin,614
330,Hopkins County Regional Landfill,KY,Hopkins,287
331,Laurel Ridge Landfill Inc.,KY,Laurel,393
332,Maysville-Mason County LF,KY,Mason,113
333,Nelson County SWDF,KY,Nelson,273
334,Ohio County Balefill Landfill,KY,Ohio,156
335,Rumpke/Pendleton County LF,KY,Pendleton,94
336,Southern Sanitation LF,KY,Logan,185
337,"Tri-K Landfill, Inc.",KY,Lincoln,176
338,Valley View LF,KY,Trimble,57
339,West Kentucky Landfill,KY,Graves,235
360,Acushnet LF,MA,Bristol,3030
361,Amherst LF,MA,Hampshire,767
362,Barnstable LF,MA,Barnstable,1901
363,Bondi Island Landfill,MA,Hampden,2431
364,Carver-Marion-Wareham Landfill,MA,Plymouth,3187
365,Fitchburg-Westminster LF,MA,Worcester,4544
366,Gardner Street Landfill,MA,Suffolk,3178
367,Haverhill Landfill,MA,Essex,4439
368,Lowell LF,MA,Middlesex,8027
369,Nantucket LF,MA,Nantucket,62
370,Plainville LF,MA,Norfolk,4087
371,Beulah Municipal Landfill,MD,Dorchester,223
373,Cecil County Central Landfill,MD,Cecil,635
374,Charles County Landfill #2,MD,Charles,714
375,Eastern Sanitary Landfill Solid Waste Management Facility (ESL),MD,Baltimore,5024
376,Eastern Sanitary Landfill Solid Waste Management Facility (ESL),MD,Baltimore,3263
377,Garrett County SWD and RF,MD,Garrett,179
378,Glen Burnie Landfill,MD,Anne Arundel,2937
379,Harford Waste Disposal Center,MD,Harford,1546
380,Midshore I - Regional Solid Waste Facility,MD,Talbot,299
381,Midshore II - Regional Solid Waste Facility,MD,Caroline,194
382,Mountainview SLF,MD,Allegany,511
383,Newland Park SLF,MD,Wicomico,622
385,Reich's Ford Road SLF,MD,Frederick,1239
387,Westover/Ring SLF,MD,Somerset,152
388,Bath LF,ME,Sagadahoc,212
389,Brunswick LF,ME,Cumberland,1720
390,Dolby Landfill,ME,Penobscot,1004
391,Hatch Hill LF,ME,Kennebec,772
392,Little Squaw LF,ME,Piscataquis,147
393,Presque Isle LF,ME,Aroostook,508
394,Adrian Landfill,MI,Lenawee,540
395,Advanced Disposal Arbor Hills Landfill Inc.,MI,Washtenaw,1551
396,Autumn Hills Recycling & Disposal Facility,MI,Ottawa,1168
397,Brent Run Landfill,MI,Genesee,2440
398,Cedar Ridge Recycling & Disposal Facility,MI,Charlevoix,174
399,"Central Sanitary Landfill, Inc.",MI,Montcalm,330
400,City of Midland Sanitary LF,MI,Midland,445
401,Dafter Sanitary Landfill Inc,MI,Chippewa,189
402,Delta County Landfill,MI,Delta,255
403,Eagle Valley RDF,MI,Oakland,7343
404,Elk Run Sanitary Landfill,MI,Presque Isle,106
405,Forest Lawn Landfill,MI,Berrien,953
406,Glen's Sanitary Landfill Inc.,MI,Leelanau,159
407,Hastings Sanitary Landfill,MI,Barry,287
408,Huron Landfill,MI,Huron,230
409,K&W LF,MI,Ontonagon,51
410,Manistee County LF,MI,Manistee,167
411,Marquette County SWL,MI,Marquette,354
412,Menominee Landfill,MI,Menominee,148
413,Montmorency-Oscoda-Alpena Landfill,MI,Montmorency,81
414,Muskegon County SWF,MI,Muskegon,942
415,Northern Oaks Recycling & Disposal Facility,MI,Clare,223
416,"People's Landfill, Inc.",MI,Saginaw,1167
417,Pine Tree Acres LF Inc.,MI,Macomb,5320
418,Tri-City RDF,MI,Sanilac,261
419,Venice Park Recycling & Disposal Facility,MI,Shiawassee,429
420,Wexford County Landfill,MI,Wexford,218
421,Wood Island Waste Management Inc.,MI,Alger,62
442,Backridge Landfill,MO,Lewis,57
443,Central Missouri SLF,MO,Pettis,245
444,City of Maryville Sanitary Landfill,MO,Nodaway,103
445,Fulton SLF,MO,Callaway,237
446,Jackson County Landfill,MO,Cape Girardeau,418
447,Jefferson City Sanitary Landfill,MO,Cole,398
448,Lemons East Sanitary Landfill / Lemons West Landfill,MO,Stoddard,197
449,Plattco/Riverview,MO,Platte,475
450,St. Joseph City SLF,MO,Buchanan,499
451,Byram Landfill,MS,Hinds,1241
452,Central Landfill,MS,Pearl River,356
453,City of Durant LF,MS,Holmes,111
454,Golden Triangle Regional Landfill,MS,Oktibbeha,172
455,Gulf Pines LF,MS,Harrison,1096
456,Kemper County Solid Waste Landfill,MS,Kemper,51
457,Leflore County Landfill,MS,Leflore,160
458,Northeast Mississippi Regional Landfill,MS,Tippah,123
459,Pleasant Hills,MS,DeSoto,807
460,Prairie Bluff Sanitary Landfill,MS,Chickasaw,101
461,Three Rivers Regional Landfill,MS,Pontotoc,163
462,Tunica Landfill,MS,Tunica,50
463,Billings City Landfill,MT,Yellowstone,962
464,City of Bozeman SLF,MT,Gallatin,420
465,Flathead County Landfill,MT,Flathead,667
466,High Plains SLF,MT,Cascade,447
468,Missoula Landfill,MT,Missoula,532
469,Alamance County Landfill,NC,Alamance,962
470,Alexander County Landfill,NC,Alexander,238
471,Anderson Creek LF Harnett County,NC,Harnett,609
472,Anson County Waste Management Facility,NC,Anson,148
473,Ashe County Landfill,NC,Ashe,187
474,Avery County LF,NC,Avery,123
475,Blackburn SLF,NC,Catawba,922
476,Brunswick County LF,NC,Brunswick,1002
477,Buncombe County New Landfill,NC,Buncombe,1597
478,Caldwell County Mt. Herman Landfill,NC,Caldwell,542
479,Canton LF-Haywood County,NC,Haywood,492
480,Caswell County LF,NC,Caswell,164
481,Charlotte Motor Speedway Landfill V,NC,Cabarrus,998
482,City of Albemarle LF,NC,Stanly,385
483,City of Durham SLF,NC,Durham,1356
484,City of Greensboro White Street Landfill,NC,Guilford,2810
485,Cleveland County LF,NC,Cleveland,638
486,Cliffside South Rutherford County LF,NC,Rutherford,453
487,"Columbus County, ARS",NC,Columbus,345
488,Craven County LF,NC,Craven,643
489,Davidson County LF,NC,Davidson,1039
490,Davie County LF,NC,Davie,297
491,East Carolina Regional LF,NC,Bertie,130
492,Edgecombe County LF,NC,Edgecombe,325
493,Feltonsville Sanitary Landfill,NC,Wake,4439
494,Gaston County LF,NC,Gaston,1256
495,Granville County LF 1,NC,Granville,368
