State,, FIPS,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Chester County, Pennsylvania(6,8)",,42029,477.9,470,485.9,2933,falling,-0.8,-1.1,-0.4
"District of Columbia(6,8)",,11001,429.1,421.9,436.4,2837,falling,-4,-6.2,-1.8
"Sonoma County, California(7,8)",,6097,431.8,424.4,439.3,2832,falling,-1.7,-2.4,-1.1
"El Paso County, Colorado(6,8)",,8041,422.4,415.3,429.6,2824,falling,-1,-1.4,-0.5
"Guilford County, North Carolina(6,8)",,37081,481,472.9,489.2,2810,stable,-0.4,-1,0.3
"Union County, New Jersey(7,8)",,34039,453.7,446,461.4,2802,falling,-1.2,-1.4,-1
"Kent County, Michigan(6,8)",,26081,421.2 #  ,414,428.4,2802,falling,-2.6,-3.9,-1.3
"Jefferson County, Colorado(6,8)",,8059,407.6,400.7,414.7,2789,falling,-1.5,-2.2,-0.9
"Lake County, Florida(6,8)",,12069,510.6,501.4,519.9,2758,falling,-0.7,-1.1,-0.3
"Lake County, Indiana(6,8)",,18089,471.5,463.4,479.6,2757,falling,-0.7,-1.1,-0.2
"Denton County, Texas(6,8)",,48121,408.5,401.3,415.8,2746,stable,-0.3,-2.9,2.3
"Douglas County, Nebraska(6,8)",,31055,488.2,479.8,496.8,2687,stable,1.2,-0.3,2.7
"York County, Pennsylvania(6,8)",,42133,481.6,473.2,490,2663,falling,-0.6,-1,-0.3
"Denver County, Colorado(6,8)",,8031,412.3,405.1,419.6,2656,falling,-1.7,-2.4,-1
"Manatee County, Florida(6,8)",,12081,438.9,430.8,447.1,2634,stable,-0.4,-1,0.1
"Greenville County, South Carolina(6,8)",,45045,465.7,457.6,473.9,2628,falling,-0.7,-0.9,-0.4
"Westmoreland County, Pennsylvania(6,8)",,42129,487.8,479,496.7,2609,stable,-0.2,-0.5,0.2
"Hudson County, New Jersey(7,8)",,34017,403.5,396.5,410.6,2607,falling,-1.2,-1.5,-0.9
"Jefferson Parish, Louisiana(7,8)",,22051,483.9,475.3,492.5,2584,stable,-0.1,-0.5,0.4
"Arapahoe County, Colorado(6,8)",,8005,399.3,392.2,406.5,2553,falling,-2,-2.4,-1.5
"Passaic County, New Jersey(7,8)",,34031,451.6,443.6,459.7,2510,falling,-0.8,-1.1,-0.6
"Waukesha County, Wisconsin(6,8)",,55133,477.6,469,486.4,2499,falling,-0.8,-1,-0.5
"Berks County, Pennsylvania(6,8)",,42011,486.2,477.5,495.1,2491,stable,-0.2,-0.6,0.1
