State,, FIPS,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Burnett County, Wisconsin(6,8)",,55013,459.8,420.5,502.5,125,stable,0.6,-1,2.2
"Churchill County, Nevada(6,8)",,32001,403.6,371.5,437.9,125,falling,-1.6,-2.7,-0.4
"Emanuel County, Georgia(7,8)",,13107,464.8,428.3,503.8,125,stable,0.4,-0.8,1.5
"Fredericksburg City, Virginia(6,8)",,51630,507.6,467.8,549.8,125,falling,-1.2,-2,-0.3
"Henry County, Iowa(7,8)",,19087,485.8,447.3,527,125,stable,0.2,-0.4,0.8
"Kalkaska County, Michigan(6,8)",,26079,507 #  ,466.1,550.8,125,stable,-0.4,-1.9,1.1
"Allen County, Kentucky(7,8)",,21003,477.6,439.8,517.9,125,stable,-0.1,-1,0.7
"Washington County, Florida(6,8)",,12133,395.9,364.7,429.3,125,stable,1.5,0,3.1
"Buchanan County, Iowa(7,8)",,19019,470.1,432.9,509.9,124,stable,-0.2,-0.8,0.3
"Custer County, Oklahoma(6,8)",,40039,426.8,393.2,462.5,124,stable,-0.8,-1.8,0.2
"Humphreys County, Tennessee(6,8)",,47085,479.2,440.9,520.2,124,stable,-1.1,-2.4,0.2
"Burke County, Georgia(7,8)",,13033,473.7,435.7,514.1,124,stable,0,-1,0.9
"Crawford County, Illinois(6,8)",,17033,471.9,434.5,511.8,124,stable,-0.4,-2.1,1.2
"Union County, Illinois(6,8)",,17181,496.8,456.8,539.6,124,stable,1.2,-0.1,2.5
"Bee County, Texas(6,8)",,48025,392.7,362,425.3,124,stable,0.3,-0.8,1.4
"Arkansas County, Arkansas(6,8)",,5001,507,466.4,550.3,124,stable,0.9,-0.2,2
"Davison County, South Dakota(6,8)",,46035,491.3,451.6,533.7,124,stable,1.4,-0.7,3.5
"Nelson County, Virginia(6,8)",,51125,514.5,470.9,561.6,124,stable,-0.3,-1.5,1
"Kewaunee County, Wisconsin(6,8)",,55061,439.2,403.8,477.2,123,stable,-0.2,-1.3,0.9
"Monroe County, Alabama(6,8)",,1099,428.5,393.9,465.5,123,stable,0.7,-0.2,1.6
"Montague County, Texas(6,8)",,48337,440.9,405.1,479.4,123,stable,-0.2,-1.1,0.7
"Tippah County, Mississippi(6,8)",,28139,466.2,429.4,505.4,123,rising,1.5,0.2,2.8
"Harrison County, Kentucky(7,8)",,21097,519.3,477.7,563.7,123,stable,-0.2,-1,0.6
"Lawrence County, Arkansas(6,8)",,5075,551,506.5,598.5,123,rising,8.6,3.1,14.5
"Avery County, North Carolina(6,8)",,37011,484.3,445.7,525.8,123,stable,0.8,-0.4,2
"DeWitt County, Texas(6,8)",,48123,438.8,403.8,476.3,123,stable,-0.9,-1.8,0.1
"Morgan County, Colorado(6,8)",,8087,382.2,352,414.3,123,stable,-0.7,-1.8,0.4
"Shelby County, Texas(6,8)",,48419,388.4,357.7,421.1,123,stable,-1.1,-2.3,0.1
"Clark County, Arkansas(6,8)",,5019,481.3,442.6,522.6,123,stable,0.9,-0.3,2
"Leake County, Mississippi(6,8)",,28079,463.3,426.6,502.4,123,stable,-6.1,-13.2,1.7
"Newton County, Mississippi(6,8)",,28101,480,442,520.5,123,stable,-0.6,-1.9,0.7
"Tama County, Iowa(7,8)",,19171,514.7,473,559.5,123,stable,0.2,-0.3,0.6
"Towns County, Georgia(7,8)",,13281,582.8,528.4,642.1,123,stable,0.5,-0.6,1.6
"Uintah County, Utah(7,8)",,49047,402.8,370.8,436.7,123,stable,0.1,-0.4,0.6
"Douglas County, Illinois(6,8)",,17041,493.3,453.8,535.4,122,stable,-0.4,-1.3,0.5
"Garrard County, Kentucky(7,8)",,21079,549.1,504.9,596.3,122,stable,-0.5,-1.5,0.5
"Meade County, South Dakota(6,8)",,46093,410,377,445.2,122,falling,-1.3,-2.2,-0.4
"Rabun County, Georgia(7,8)",,13241,454.3,416.1,495.5,122,stable,-7.3,-18.1,4.9
"Brunswick County, Virginia(6,8)",,51025,508.8,467.7,552.9,122,stable,0.6,-0.3,1.5
"Mahaska County, Iowa(7,8)",,19123,419.4,385.7,455.4,122,stable,-0.1,-0.7,0.5
"Gem County, Idaho(7,8)",,16045,491.7,451.3,535.1,122,falling,-2.6,-4.5,-0.7
"Orange County, Indiana(6,8)",,18117,462.1,424.9,502,122,stable,0.1,-1.3,1.6
"Potter County, Pennsylvania(6,8)",,42105,460.4,422.4,501.3,122,stable,-0.3,-1.6,1.1
"Albany County, Wyoming(6,8)",,56001,380.8,349.8,413.8,121,stable,-1,-2.4,0.4
"Morgan County, Georgia(7)",,13211,495.6,455.5,538.5,121,*,*,*,*
"Adair County, Kentucky(7,8)",,21001,506.6,465.6,550.3,121,stable,0.1,-0.8,1
"Crisp County, Georgia(7,8)",,13081,413.2,379.7,448.9,121,stable,-10.9,-24,4.3
"Price County, Wisconsin(6,8)",,55099,511.4,469.1,557.4,121,stable,0.9,-0.4,2.2
"Yell County, Arkansas(6,8)",,5149,445.7,410.2,483.6,121,stable,-0.6,-1.8,0.7
"Randolph County, Arkansas(6,8)",,5121,510.7,469,555.3,121,stable,0.8,-0.7,2.4
"Northumberland County, Virginia(6,8)",,51133,442,403,485.1,121,stable,-0.7,-2.1,0.6
"Arenac County, Michigan(6,8)",,26011,494.1 #  ,452.3,539.3,121,stable,-1.1,-2.6,0.5
"Hutchinson County, Texas(6,8)",,48233,457.6,420.7,496.8,121,stable,-0.9,-2,0.3
"Elmore County, Idaho(7,8)",,16039,467.4,430,507.2,120,falling,-2.4,-3.8,-1
"Vernon County, Missouri(6,8)",,29217,435,399.8,472.8,120,stable,-0.3,-1.2,0.6
"Barnwell County, South Carolina(6,8)",,45011,430.9,395.8,468.5,120,stable,-0.8,-1.9,0.4
"Cedar County, Iowa(7,8)",,19031,489.5,449.5,532.4,120,stable,-0.8,-1.8,0.2
"Montezuma County, Colorado(6,8)",,8083,328.8,301.4,358.3,120,falling,-3,-4.3,-1.6
"Sullivan County, Indiana(6,8)",,18153,453.6,417.2,492.5,120,stable,-1,-2.3,0.3
"Colonial Heights City, Virginia(6,8)",,51570,496.4,455.8,539.8,120,stable,0.5,-0.5,1.6
"Grant County, Arkansas(6,8)",,5053,519.6,477.8,564.2,120,stable,0.5,-0.7,1.8
"Marengo County, Alabama(6,8)",,1091,455.2,418.1,494.9,120,stable,0.6,-0.1,1.3
"Marquette County, Wisconsin(6,8)",,55077,490.5,448.7,535.6,120,falling,-1.3,-2.4,-0.1
"Clay County, Arkansas(6,8)",,5021,553.7,508.1,602.6,119,rising,2.1,0.7,3.6
"Clayton County, Iowa(7,8)",,19043,439.8,403,479.5,119,stable,-0.3,-0.8,0.2
"Jackson County, Wisconsin(6,8)",,55053,435.8,400.4,473.7,119,stable,-0.2,-1.8,1.5
"Lincoln County, New Mexico(7,8)",,35027,345.5,315,378.5,119,falling,-1.8,-2.3,-1.3
"Lawrence County, Kentucky(7,8)",,21127,594.6,546,646.6,119,stable,0.8,0,1.6
"Bosque County, Texas(6,8)",,48035,415.6,380.1,454,118,stable,0.5,-0.7,1.6
"De Witt County, Illinois(6,8)",,17039,543.3,498.9,590.9,118,stable,-5.9,-11.9,0.5
"Spencer County, Indiana(6,8)",,18147,418.9,384.7,455.6,118,stable,-0.8,-2.1,0.5
"Rockcastle County, Kentucky(7,8)",,21203,554.5,509.1,603.1,118,rising,0.8,0.1,1.4
"Clay County, Mississippi(6,8)",,28025,460,422.3,500.3,117,stable,0.3,-1.1,1.8
"Wetzel County, West Virginia(6,8)",,54103,499.3,457.4,544.2,117,stable,-0.9,-2.8,1.1
"Yankton County, South Dakota(6,8)",,46135,390.7,358.7,424.9,117,stable,-0.7,-2.2,0.9
"Inyo County, California(7,8)",,6027,420.9,385,459.6,117,stable,-0.8,-2.1,0.5
"Clay County, Iowa(7,8)",,19041,498.4,456.6,543.3,117,stable,0,-0.4,0.4
"Covington County, Mississippi(6,8)",,28031,500.5,459.8,544.1,117,stable,0.8,-0.1,1.7
"Adair County, Missouri(6,8)",,29001,456.3,418.7,496.4,116,stable,0,-1.3,1.3
"Fulton County, Indiana(6,8)",,18049,428.7,393.4,466.5,116,falling,-1.7,-2.7,-0.7
"Polk County, Tennessee(6,8)",,47139,497.7,456.4,542,116,stable,1.1,-0.3,2.5
"Pike County, Illinois(6,8)",,17149,521.4,477.9,568.1,116,rising,1.8,0.7,2.9
"Richland Parish, Louisiana(7,8)",,22083,461.5,423.6,501.9,116,stable,-0.5,-1.4,0.5
"Blaine County, Idaho(7,8)",,16013,425.6,389.8,463.9,116,stable,-0.5,-1.7,0.8
"Concordia Parish, Louisiana(7,8)",,22029,467.6,429.1,508.7,116,stable,-2.6,-6.7,1.7
"Floyd County, Iowa(7,8)",,19067,507.4,464.7,553.2,116,stable,0.1,-0.4,0.7
"Johnson County, Tennessee(6,8)",,47091,439.2,402.8,478.4,116,stable,1.7,-0.4,3.9
"Mercer County, Illinois(6,8)",,17131,511.6,468.9,557.6,116,stable,0.4,-0.8,1.6
"Butler County, Alabama(6,8)",,1013,428.7,393,466.9,116,stable,0.5,-1,2
"Delaware County, Iowa(7,8)",,19055,505.7,463.3,551,116,stable,0.4,-0.1,0.9
"Saluda County, South Carolina(6,8)",,45081,432,396.3,470.3,116,stable,2.4,-0.2,5
"Dawson County, Nebraska(6,8)",,31047,417,382.9,453.5,116,stable,-0.5,-1.8,0.8
"Uvalde County, Texas(6,8)",,48463,380.8,349.5,414.1,116,stable,-0.3,-1.5,1
"Mariposa County, California(7,8)",,6043,373.1,340.5,408.5,115,falling,-1.7,-2.3,-1
"Trinity County, Texas(6,8)",,48455,484.8,442.2,530.9,115,stable,0.8,-0.6,2.1
"Wright County, Missouri(6,8)",,29229,464.8,426.1,506.4,115,stable,-0.6,-1.4,0.2
"Fountain County, Indiana(6,8)",,18045,508.5,466.4,553.8,115,stable,0.1,-0.7,1
"Taylor County, Wisconsin(6,8)",,55119,420.3,385.1,458,115,stable,-0.4,-1.3,0.4
"Grant Parish, Louisiana(7,8)",,22043,449.5,412.7,488.8,114,stable,-0.5,-1.6,0.6
"Pamlico County, North Carolina(6,8)",,37137,526.2,479.5,576.9,114,stable,0.2,-1,1.3
"Poweshiek County, Iowa(7,8)",,19157,445.5,407.8,486.1,114,stable,-0.1,-0.7,0.4
"Tattnall County, Georgia(7,8)",,13267,406.5,373.3,441.8,114,falling,-1.5,-2.5,-0.5
"Wayne County, Mississippi(6,8)",,28153,447.7,410.9,487,114,stable,0.4,-0.5,1.2
"Gray County, Texas(6,8)",,48179,421.2,386.9,457.8,114,falling,-4.8,-7.2,-2.4
"Greene County, North Carolina(6,8)",,37079,441.9,405.5,480.9,114,stable,-0.9,-2.3,0.6
"Piatt County, Illinois(6,8)",,17147,508.9,466.6,554.4,114,stable,0.3,-0.9,1.5
"McDonald County, Missouri(6,8)",,29119,429.4,393.9,467.2,114,stable,0.5,-1,2
"Estill County, Kentucky(7,8)",,21065,610.1,559.1,664.7,113,stable,0.9,-0.3,2.1
"Mason County, Kentucky(7,8)",,21161,507.9,465.7,553.1,113,stable,-5.1,-10.4,0.5
"King George County, Virginia(6,8)",,51099,430.1,394.2,468.3,113,stable,-1.2,-2.8,0.4
"Lee County, South Carolina(6,8)",,45061,496.5,454.8,541.2,113,stable,0.1,-1.2,1.5
"Plaquemines Parish, Louisiana(7,8)",,22075,461.3,423.4,501.8,113,stable,-0.3,-1.4,0.8
"Wayne County, Illinois(6,8)",,17191,466.7,427.6,508.8,113,stable,-0.2,-1.4,1
"Winneshiek County, Iowa(7,8)",,19191,408.3,373.5,445.8,113,stable,0,-0.6,0.6
"Freestone County, Texas(6,8)",,48161,419.5,384.6,456.9,113,stable,-0.7,-2.3,0.9
"New Madrid County, Missouri(6,8)",,29143,467,428.2,508.7,113,stable,-0.4,-1.7,1
"Attala County, Mississippi(6,8)",,28007,447.9,410.6,487.9,113,stable,0.1,-1.3,1.5
"Elbert County, Colorado(6,8)",,8039,370.8,337.3,406.8,113,falling,-1.4,-2.6,-0.1
"Hempstead County, Arkansas(6,8)",,5057,401.7,368.2,437.6,113,stable,-1.2,-2.6,0.2
"Adair County, Oklahoma(6,8)",,40001,440.1,403.6,479.1,112,stable,-0.5,-2.1,1.1
"Asotin County, Washington(6,8)",,53003,327.5,299.4,357.7,112,falling,-2.8,-5.2,-0.4
"Edgar County, Illinois(6,8)",,17045,431.9,395.2,471.4,112,falling,-3.1,-4.5,-1.7
"Paulding County, Ohio(6,8)",,39125,463.1,424.3,504.8,112,stable,0.1,-1.3,1.5
"Columbia County, Arkansas(6,8)",,5027,390.3,357.6,425.4,112,stable,-0.9,-2.2,0.5
"Henry County, Alabama(6,8)",,1067,452.4,413.9,494,112,falling,-1.1,-2,-0.1
"Morgan County, West Virginia(6,8)",,54065,413.2,378,451.3,112,stable,-0.4,-1.4,0.6
"Phillips County, Arkansas(6,8)",,5107,460.5,421.3,502.5,112,stable,1.2,0,2.4
"Union County, Tennessee(6,8)",,47173,453.8,415.4,495,112,falling,-7.8,-14.6,-0.5
"Green Lake County, Wisconsin(6,8)",,55047,397.7,363.7,434.3,111,falling,-1.5,-2.5,-0.6
"Eastland County, Texas(6,8)",,48133,416.2,380.4,454.7,111,stable,-0.4,-1.5,0.7
"Stutsman County, North Dakota(6,8)",,38093,402.1,367.8,439,111,stable,-1,-2.5,0.5
"White County, Illinois(6,8)",,17193,530.5,485,579.5,111,stable,0.8,-0.3,1.8
"Bayfield County, Wisconsin(6,8)",,55007,430,391.2,472.3,111,stable,0.8,0,1.6
"Holmes County, Mississippi(6,8)",,28051,554.6,508.1,604.2,111,stable,0.3,-1.1,1.8
"Mitchell County, North Carolina(6,8)",,37121,457.7,418,500.8,111,stable,0.7,-0.5,1.9
"Simpson County, Kentucky(7,8)",,21213,501.3,459.4,546.2,111,falling,-2.3,-3.9,-0.7
"Lamar County, Georgia(7,8)",,13171,488.9,447.6,533.2,110,stable,-0.2,-1.4,1
"Drew County, Arkansas(6,8)",,5043,489.1,448.1,533.1,110,stable,0.6,-0.8,2
"Spencer County, Kentucky(7,8)",,21215,522.6,477.7,570.9,110,stable,-0.1,-1,0.9
"Calhoun County, Texas(6,8)",,48057,411.6,377.1,448.6,110,falling,-1.3,-2.4,-0.1
"Cibola County, New Mexico(7,8)",,35006,352.6,323.1,384.2,110,stable,-0.3,-0.8,0.2
"Beadle County, South Dakota(6,8)",,46005,489.8,447.9,534.8,110,stable,0.1,-1.1,1.4
"Franklin County, Arkansas(6,8)",,5047,465.7,426.3,507.9,110,stable,0.1,-1.4,1.6
"Williams County, North Dakota(6,8)",,38105,379.3,347,413.6,109,falling,-2.5,-3.9,-1.1
"Jackson County, Arkansas(6,8)",,5067,485.3,444.5,529.1,109,stable,0,-1.4,1.4
"Butler County, Iowa(7,8)",,19023,514.2,469.2,562.6,109,stable,-0.1,-0.6,0.3
"Crawford County, Wisconsin(6,8)",,55023,443.1,404.6,484.7,109,stable,-1.3,-2.5,0
"Idaho County, Idaho(7,8)",,16049,400.3,364.2,439.6,109,stable,0.1,-0.8,1
"Kossuth County, Iowa(7,8)",,19109,459.6,418.9,503.6,109,stable,0.2,-0.3,0.6
"Warren County, Illinois(6,8)",,17187,496.9,454.2,542.8,109,stable,0.3,-1.1,1.7
"Wasatch County, Utah(7,8)",,49051,422.7,386.3,461.7,109,stable,0.2,-0.5,0.9
"Winston County, Mississippi(6,8)",,28159,431.9,395.3,471.4,109,stable,-0.1,-1.1,0.9
"Hood River County, Oregon(6,8)",,41027,414.7,379.6,452.1,109,falling,-1.3,-2.2,-0.4
"Bond County, Illinois(6,8)",,17005,486.9,445.8,531.1,108,stable,-0.9,-1.9,0.2
"McCreary County, Kentucky(7,8)",,21147,520.4,476.4,567.7,108,stable,-0.4,-1.7,1
"Richland County, Illinois(6,8)",,17159,497.1,454.4,543.1,108,stable,0.6,-1.3,2.5
"Rush County, Indiana(6,8)",,18139,491.9,450,536.8,108,stable,0.1,-1.3,1.6
"Tyler County, Texas(6,8)",,48457,341,311.6,372.7,108,falling,-2.4,-3.6,-1.2
"Young County, Texas(6,8)",,48503,432.6,395.4,472.5,108,falling,-1.2,-2,-0.4
"Whitman County, Washington(6,8)",,53075,285.9,261.6,311.8,108,falling,-3.8,-5.6,-2
"Cross County, Arkansas(6,8)",,5037,501.8,459,547.6,108,stable,1.3,0,2.6
"Dallas County, Missouri(6,8)",,29059,462,422.1,505,108,stable,0.7,-0.4,1.8
"Jasper County, Mississippi(6,8)",,28061,470.7,430.2,514.2,108,stable,0.2,-1.1,1.5
"Perry County, Missouri(6,8)",,29157,437.2,400.1,476.9,108,stable,0.1,-1,1.1
"Beckham County, Oklahoma(6,8)",,40009,445.2,407.7,485.2,108,stable,-1.2,-2.9,0.5
"DeKalb County, Tennessee(6,8)",,47041,414,378.8,451.9,108,falling,-0.9,-1.7,-0.1
"Henry County, Kentucky(7,8)",,21103,536.2,490.5,585.3,108,stable,0,-1.1,1.1
"Alleghany County and Clifton Forge City, Virginia(6,8)",,51005,432.7,394.6,474.1,107,stable,-0.5,-2.4,1.4
"Fayette County, Alabama(6,8)",,1057,457.9,418.3,500.5,107,stable,1.1,-0.2,2.4
"Clark County, Illinois(6,8)",,17023,484,442.2,528.9,106,stable,-0.4,-1.8,1
"Pike County, Missouri(6,8)",,29163,456.2,417.3,497.8,106,stable,-0.6,-1.9,0.8
"Presque Isle County, Michigan(6,8)",,26141,431 #  ,390.2,475.9,106,falling,-2.1,-3.2,-1.1
"Russell County, Virginia(6,8)",,51167,268.1,244.7,293.3,106,falling,-15.9,-24.8,-6
"Smith County, Tennessee(6,8)",,47159,439,401.3,479.5,106,stable,-1.9,-4.7,1
"Dodge County, Georgia(7,8)",,13091,393.6,360.3,429.4,106,stable,-1,-2.4,0.4
"Hamilton County, Iowa(7,8)",,19079,498.9,455.3,545.9,106,stable,-0.1,-0.6,0.4
"Richland County, Wisconsin(6,8)",,55103,397,362,434.8,106,stable,-0.7,-1.8,0.4
"Taylor County, West Virginia(6,8)",,54091,449.8,411.1,491.4,106,stable,0.4,-0.8,1.7
"Banks County, Georgia(7,8)",,13011,472.4,431.5,516.3,106,stable,1.8,0,3.6
"Burleson County, Texas(6,8)",,48051,406.2,370.5,444.7,106,stable,-0.7,-2.4,1.1
"Chowan County, North Carolina(6,8)",,37041,471.1,429,516.6,106,stable,-0.1,-1.6,1.3
"Leon County, Texas(6,8)",,48289,400,364.3,438.6,105,stable,-0.8,-1.9,0.2
"Northampton County, Virginia(6,8)",,51131,526.1,477.4,578.9,105,stable,-0.7,-1.6,0.2
"Park County, Montana(6,8)",,30067,422.8,385.4,463.2,105,stable,-0.4,-2.1,1.3
"Marshall County, Oklahoma(6,8)",,40095,436.7,398.4,478,105,stable,-0.5,-1.7,0.8
"Berrien County, Georgia(7,8)",,13019,435.7,398.2,475.9,104,stable,0.1,-1,1.3
"Swain County, North Carolina(6,8)",,37173,548.1,500.5,599.2,104,stable,1.4,-0.2,3
"Ben Hill County, Georgia(7,8)",,13017,499.4,456.2,545.7,104,stable,-1.2,-2.5,0.3
"Carroll County, Illinois(6,8)",,17015,458.4,416.9,503.4,104,stable,-0.6,-1.7,0.6
"Fleming County, Kentucky(7,8)",,21069,564.3,515.3,616.9,104,stable,0.6,-0.6,1.7
"Gulf County, Florida(6,8)",,12045,461.1,421.3,504.2,104,stable,0.2,-0.7,1.2
"Hampton County, South Carolina(6,8)",,45049,405.2,370.1,442.9,104,stable,-1.2,-2.6,0.3
"Cooper County, Missouri(6,8)",,29053,478.7,437,523.4,103,stable,0.3,-0.6,1.2
"Roane County, West Virginia(6,8)",,54087,499.7,455.3,547.6,103,stable,-0.2,-1.6,1.1
"Teton County, Wyoming(6,8)",,56039,423.7,386.4,463.7,103,stable,-0.6,-2.1,1
"Vermillion County, Indiana(6,8)",,18165,477.3,435.6,522.2,103,stable,-0.8,-1.9,0.3
"Ashland County, Wisconsin(6,8)",,55003,485.2,442.5,531.2,103,stable,1.4,-0.1,2.8
"Claiborne Parish, Louisiana(7,8)",,22027,479.5,438,524.1,103,stable,-0.9,-3,1.3
"Pierce County, Georgia(7,8)",,13229,448.7,409.9,490.3,103,stable,-0.8,-1.8,0.3
"Giles County, Virginia(6,8)",,51071,425.5,388.1,466,103,falling,-1.5,-2.6,-0.3
"Haywood County, Tennessee(6,8)",,47075,444.5,405.3,486.6,103,stable,1.1,-0.1,2.4
"Nodaway County, Missouri(6,8)",,29147,440.7,402.1,482.2,103,stable,0.2,-1,1.4
"Clay County, Illinois(6,8)",,17025,541.5,493.8,592.9,103,stable,0.1,-0.9,1
"Falls County, Texas(6,8)",,48145,460.9,421,503.7,103,stable,-0.5,-2.3,1.3
"Perry County, Indiana(6,8)",,18123,404.9,369.6,442.9,103,stable,-0.9,-2.3,0.4
"Brown County, Indiana(6,8)",,18013,430.4,391.1,473.2,103,stable,-1.1,-3,0.9
"Gasconade County, Missouri(6,8)",,29073,455.6,414.8,499.9,103,stable,-0.7,-2.2,0.8
"Pike County, Georgia(7,8)",,13231,480.6,438.9,525.3,103,stable,0.5,-0.5,1.5
"Ste. Genevieve County, Missouri(6,8)",,29186,419.3,382.3,459.2,103,stable,0.7,-0.5,1.9
"Carbon County, Utah(7,8)",,49007,422.1,385.2,461.7,102,stable,-0.1,-0.7,0.6
"Casey County, Kentucky(7,8)",,21045,488.6,445.9,534.6,102,stable,-0.3,-1.5,0.9
"Lamar County, Alabama(6,8)",,1075,500.4,456.2,548.2,102,stable,1.2,-0.3,2.8
"Nottoway County, Virginia(6,8)",,51135,483.7,441.6,529,102,stable,-0.3,-1.3,0.8
"Rusk County, Wisconsin(6,8)",,55107,458.5,416.8,503.8,102,stable,0.2,-1.4,1.8
"George County, Mississippi(6,8)",,28039,392.3,357.9,429.1,102,stable,-0.1,-1.3,1.1
"King William County, Virginia(6,8)",,51101,516.1,470.9,564.6,102,stable,-0.8,-2.2,0.7
"Lewis County, Kentucky(7,8)",,21135,563.7,514.4,616.8,102,rising,1.1,0.1,2
"Trigg County, Kentucky(7,8)",,21221,474.1,431.5,520.2,102,stable,-0.8,-1.8,0.2
"Wayne County, Tennessee(6,8)",,47181,452.4,413,495,102,stable,-0.6,-2,0.8
"Logan County, Colorado(6,8)",,8075,381.4,348,417.2,102,falling,-1.6,-2.9,-0.4
"Patrick County, Virginia(6,8)",,51141,343,311.9,376.9,102,rising,14.6,1.1,29.9
"Pawnee County, Oklahoma(6,8)",,40117,466.8,425.6,511.1,102,stable,0.3,-1,1.7
"Tipton County, Indiana(6,8)",,18159,488.6,445.1,535.5,102,stable,0.4,-1.1,1.9
"Harrison County, Iowa(7,8)",,19085,526.4,479.6,576.9,102,stable,0.1,-0.4,0.7
"Hockley County, Texas(6,8)",,48219,403.7,368.7,441.1,102,stable,-1.4,-2.9,0.1
"Missaukee County, Michigan(6,8)",,26113,485.4 #  ,442,532.2,102,stable,0.5,-0.8,1.7
"Gilchrist County, Florida(6,8)",,12041,443.4,403.4,486.6,101,stable,-0.5,-1.8,0.8
"Iowa County, Iowa(7,8)",,19095,471.6,429.7,516.8,101,stable,0.2,-0.6,1
"Cass County, Iowa(7,8)",,19029,493.9,449.4,542,101,stable,0.2,-0.4,0.8
"Chickasaw County, Mississippi(6,8)",,28017,469.7,428.8,513.7,101,stable,0.5,-1.1,2.1
"Torrance County, New Mexico(7,8)",,35057,475.9,432.8,522.5,101,stable,0.5,-0.2,1.2
"Jefferson County, Idaho(7,8)",,16051,406.7,371.2,444.5,101,stable,-0.2,-1.2,0.7
"Mills County, Iowa(7,8)",,19129,514.9,469,564.4,101,stable,0,-0.6,0.6
"Wayne County, Missouri(6,8)",,29223,473.3,430.4,519.8,101,stable,-8.6,-17.1,0.9
"Fairfax City, Virginia(6,8)",,51600,373.4,340.8,408.4,100,stable,-0.4,-1.8,1
"Knott County, Kentucky(7,8)",,21119,499.1,454.5,547.1,100,stable,0.4,-0.6,1.3
"Brooks County, Georgia(7,8)",,13027,469.5,427.5,514.7,100,stable,0.4,-0.9,1.7
"Brantley County, Georgia(7,8)",,13025,449.3,409.5,492.1,100,rising,2.5,1,4
"Breathitt County, Kentucky(7,8)",,21025,595.6,542.6,652.6,100,rising,1.6,0.3,3
"Crawford County, Michigan(6,8)",,26039,426.2 #  ,387.2,468.8,100,stable,-0.6,-2,0.9
"Fulton County, Pennsylvania(6,8)",,42057,478.5,435.9,524.5,100,stable,0.1,-1,1.2
"Los Alamos County, New Mexico(7,8)",,35028,422,384.3,462.7,100,falling,-1.1,-1.6,-0.6
"Macon County, Missouri(6,8)",,29121,453.8,412.8,498.1,100,stable,-0.5,-1.4,0.4
"Hughes County, South Dakota(6,8)",,46065,460.7,419.7,504.7,100,stable,0.3,-1.4,2
"Lee County, Texas(6,8)",,48287,450.5,410.7,493.5,100,stable,0.5,-1,1.9
"Barbour County, West Virginia(6,8)",,54001,446.8,406.9,489.8,99,stable,-0.7,-1.5,0.1
"Lancaster County, Virginia(6,8)",,51103,420.4,378,467.7,99,stable,0,-1.2,1.3
"Cook County, Georgia(7,8)",,13075,495.9,452.4,542.5,99,stable,0.4,-0.6,1.4
"Ford County, Illinois(6,8)",,17053,538.7,490.5,590.8,99,stable,0.1,-1.2,1.5
"Greene County, Illinois(6,8)",,17061,545.2,496.7,597.4,99,stable,0.3,-0.9,1.6
"Mason County, Illinois(6,8)",,17125,478.8,435.7,525.5,99,stable,-1,-2.1,0.1
"Stone County, Mississippi(6,8)",,28131,472.5,430.5,517.8,99,falling,-1,-1.8,-0.2
"Jackson Parish, Louisiana(7,8)",,22049,457.8,416.9,501.8,99,stable,-0.5,-1.6,0.7
"Sanders County, Montana(6,8)",,30089,475.2,428.7,526.3,99,stable,-0.3,-1.9,1.4
"Otoe County, Nebraska(6,8)",,31131,460.6,418.8,505.8,99,stable,0.3,-1.4,2
"Buena Vista County, Iowa(7,8)",,19021,416.9,379.4,457.2,98,stable,-7.3,-17.5,4.1
"Perquimans County, North Carolina(6,8)",,37143,428.8,388.6,472.7,98,stable,-1,-2.7,0.7
"Sierra County, New Mexico(7,8)",,35051,404.5,364.8,448.6,98,stable,-0.5,-1.1,0.1
"Buckingham County, Virginia(6,8)",,51029,421.2,383.6,461.9,98,stable,-0.4,-1.9,1.2
"Washington County, Illinois(6,8)",,17189,493.7,449.5,541.4,98,stable,0.2,-1.2,1.6
"Andrew County, Missouri(6,8)",,29003,427.3,389.1,468.5,98,stable,-0.1,-1.5,1.2
"Lawrence County, Illinois(6,8)",,17101,466.9,425.7,511.3,98,stable,0,-1.3,1.3
"Craig County, Oklahoma(6,8)",,40035,483.1,439.9,529.7,97,stable,-0.3,-1.5,0.9
"Monroe County, West Virginia(6,8)",,54063,471.5,427.9,518.8,97,stable,0,-1,1
"Calhoun County, South Carolina(6,8)",,45017,440.1,399.6,484,97,stable,-0.9,-3,1.2
"Sequatchie County, Tennessee(6,8)",,47153,480.6,437,527.8,97,stable,-10.3,-24.2,6.1
"Jefferson County, Iowa(7,8)",,19101,394.3,356.9,435,97,stable,-0.2,-0.9,0.4
"Lafayette County, Wisconsin(6,8)",,55065,445.5,405.1,489.1,97,stable,-0.3,-1.8,1.2
"Dakota County, Nebraska(6,8)",,31043,452.9,412.7,495.9,96,stable,0.8,-0.9,2.5
"Morgan County, Ohio(6,8)",,39115,457.9,416.2,503.1,96,stable,-0.4,-1.4,0.5
"Walthall County, Mississippi(6,8)",,28147,489.8,445.7,537.4,96,stable,1.4,0,2.9
"Clarke County, Mississippi(6,8)",,28023,429.2,390.4,471.3,96,falling,-2.7,-4.8,-0.6
